en_name,th_name,ingredients,course,province,region
Koi,ก้อย,Beef+lime juice+fish sauce+chili+herbs,main dish,Ubon Ratchathani,Northeast
Kuai Chap,กวยจั๊บ,Pork belly+rice noodles+soy sauce+garlic,main dish,Bangkok,Central
Kuai Tiao,ก๋วยเตี๋ยว,Rice noodles+pork+bean sprouts+garlic+fish sauce,main dish,Bangkok,Central
Kuai Tiao Khaek,ก๋วยเตี๋ยวแขก,Beef+noodles+curry powder+coconut milk,main dish,Ayutthaya,Central
Kuai Tiao Kua Kai,ก๋วยเตี๋ยวคั่วไก่,Chicken+noodles+soy sauce+garlic,main dish,Bangkok,Central
Kuai Tiao Pak Mo,ก๋วยเตี๋ยวปากหม้อ,Pork+herbs+rice flour+garlic,main dish,Nakhon Pathom,Central
Kuai Tiao Mon,ก๋วยเตี๋ยวมอญ,Rice noodles+pork+fish sauce+herbs,main dish,Nonthaburi,Central
Kuai Tiao Ruea,ก๋วยเตี๋ยวเรือ,Rice noodles+pork+blood broth+bean sprouts,main dish,Ayutthaya,Central
Kung Chae Nam Pla,กุ้งแช่น้ำปลา,Shrimp+fish sauce+garlic+chili,main dish,Coastal provinces,South
Koey Yeung Kok Siang Bi,เกยย้งก๊กเซียงบี๊,Herbs+pork+soy sauce,main dish,Bangkok,Central
Kao Lao,เกาเหลา,Beef broth+vegetables+garlic+fish sauce,main dish,Bangkok,Central
Kiem Ee,เกี้ยมอี๋,Rice noodles+pork+garlic+fish sauce,main dish,Bangkok,Central
Kai Koa Lae,ไก่กอและ,Chicken+spices+coconut milk+turmeric,main dish,Pattani,South
Kai Katet,ไก่กะเต็ด,Chicken+spices+soy sauce+garlic,main dish,Unknown,Unknown
Kai Tai Nam,ไก่ใต้น้ำ,Chicken+herbs+soy sauce+garlic,main dish,Northern provinces,North
Kai Yang,ไก่ย่าง,Grilled chicken+soy sauce+garlic,main dish,Khon Kaen,Northeast
Kai Ob Fang,ไก่อบฟาง,Chicken+straw+soy sauce+garlic,main dish,Rural areas,Central
Khanom Chin,ขนมจีน,Fermented rice noodles+curry+coconut milk,main dish,Various,Various
Khanom Chin Kaeng Kai Kua,ขนมจีนแกงไก่คั่ว,Rice noodles+chicken curry+coconut milk,main dish,Various,Various
Kao Kan Jin,ข้าวกั๊นจิ๊น,Rice+pork blood+garlic+fish sauce,main dish,Northern provinces,North
Kao Kha Mu,ข้าวขาหมู,Pork leg+rice+garlic+soy sauce,main dish,Bangkok,Central
Kao Khluk Kapi,ข้าวคลุกกะปิ,Rice+shrimp paste+garlic+chili,main dish,Bangkok,Central
Kao Chi,ข้าวจี่,Grilled sticky rice+soy sauce+garlic,main dish,Rural areas,Northeast
Kao Chae,ข้าวแช่,Rice in jasmine-scented water+shrimp paste balls+garlic,main dish,Central provinces,Central
Kao Soi,ข้าวซอย,Curry noodles+chicken+coconut milk,main dish,Chiang Mai,North
Kao Dok Rai,ข้าวดอกราย,Unknown,main dish,Unknown,Unknown
Kao Tom,ข้าวต้ม,Rice porridge+pork+garlic+fish sauce,main dish,Various,Various
Kao Pheup,ข้าวเปิ๊บ,Unknown,main dish,Unknown,Unknown
Kao Phat,ข้าวผัด,Fried rice+soy sauce+garlic,main dish,Various,Various
Kao Phat Sapparot,ข้าวผัดสับปะรด,Pineapple fried rice+soy sauce+garlic,main dish,Coastal provinces,South
